Kf2,k7/1p4pp/p1b2n2/8/8/5P1B/PP4PP/4R1K1 w - - 0 23
g3,1k6/1p4pp/p1b2n2/8/8/5P1B/PP3KPP/4R3 w - - 2 24
Bg2,8/1pk3pp/p1b2n2/8/8/5PPB/PP3K1P/4R3 w - - 1 25
h3,8/1p4pp/p1bk1n2/8/8/5PP1/PP3KBP/4R3 w - - 3 26
f4,8/1p4pp/p1bk4/3n4/8/5PPP/PP3KB1/4R3 w - - 1 27
Rd1+,8/1p4pp/p1bk1n2/8/5P2/6PP/PP3KB1/4R3 w - - 1 28
Bxc6,8/1pk3pp/p1b2n2/8/5P2/6PP/PP3KB1/3R4 w - - 3 29
Ne7,r1bq1rk1/ppp3p1/2nppb1p/5p2/2PP4/P1NBP3/1PQ1NPPP/R3K2R b KQ - 0 10
e5,r1bq1rk1/ppp1n1p1/3ppb1p/5p2/2PP4/P1NBP3/1PQ1NPPP/2KR3R b - - 2 11
Qe8,r1bq1rk1/ppp1n1p1/3p1b1p/4pp2/2PP4/P1NBPP2/1PQ1N1PP/2KR3R b - - 0 12
a6,r1b1qrk1/ppp1n1p1/3p1b1p/4pp2/2PP4/P1NBPP1P/1PQ1N1P1/2KR3R b - - 0 13
fxg4,r1b1qrk1/1pp1n1p1/p2p1b1p/4pp2/2PP2P1/P1NBPP1P/1PQ1N3/2KR3R b - - 0 14
Bd7,r1b1qrk1/1pp1n1p1/p2p1b1p/4p3/2PP2P1/P1NBPP2/1PQ1N3/2KR3R b - - 0 15
b5,r3qrk1/1ppbn1p1/p2p1b1p/4p3/2PP2P1/P1NBPP2/1PQ1N3/2K3RR b - - 2 16
axb5,r3qrk1/2pbn1p1/p2p1b1p/1P2p3/3P2P1/P1NBPP2/1PQ1N3/2K3RR b - - 0 17
b4,r3qrk1/2pbn1p1/3p1b1p/1p2p3/3P1PP1/P1NBP3/1PQ1N3/2K3RR b - - 0 18
exd4,r3qrk1/2pbn1p1/3p1b1p/4p3/1P1P1PP1/2NBP3/1PQ1N3/2K3RR b - - 0 19
Nc6,r3qrk1/2pbn1p1/3p1b1p/8/1P1N1PP1/2NBP3/1PQ5/2K3RR b - - 0 20
Qxe3+,r3qrk1/2pb2p1/2np1bBp/8/1P1N1PP1/2N1P3/1PQ5/2K3RR b - - 2 21
Nxd4,r4rk1/2pb2p1/2np1bBp/8/1P1N1PP1/2N1q3/1PQ5/1K4RR b - - 1 22
Qe6,r4rk1/2pb2p1/3p1bBp/8/1P1n1PP1/2N1q3/1P6/1KQ3RR b - - 1 23
Qb3,r4rk1/2pb2p1/3pqbBp/5P2/1P1n2P1/2N5/1P6/1KQ3RR b - - 0 24
Qxb4,r4rk1/2pb2p1/3p1bBp/5PP1/1P1n4/1qN5/1P6/1KQ3RR b - - 0 25
Qa5,r4rk1/2pb2p1/3p1bBP/5P2/1q1n4/2N5/1P6/1KQ3RR b - - 0 26
Qa1#,r4rk1/2pb2p1/3p1bBP/q4P2/3n4/2N1Q3/1P6/1K4RR b - - 2 27
a4,r1bqkb1r/3n1ppp/p1n1p3/1p1p2P1/3P1B1P/2N2N2/PPP2P2/R2QKB1R w KQkq - 0 10
Na2,r1bqkb1r/3n1ppp/p1n1p3/3p2P1/Pp1P1B1P/2N2N2/1PP2P2/R2QKB1R w KQkq - 0 11
b3,r1bqk2r/3nbppp/p1n1p3/3p2P1/Pp1P1B1P/5N2/NPP2P2/R2QKB1R w KQkq - 2 12
Qd2,r2qk2r/1b1nbppp/p1n1p3/3p2P1/Pp1P1B1P/1P3N2/N1P2P2/R2QKB1R w KQkq - 1 13
Be2,r3k2r/1b1nbppp/pqn1p3/3p2P1/Pp1P1B1P/1P3N2/N1PQ1P2/R3KB1R w KQkq - 3 14
O-O-O,2r1k2r/1b1nbppp/pqn1p3/3p2P1/Pp1P1B1P/1P3N2/N1PQBP2/R3K2R w KQk - 5 15
Kb1,2r1k2r/1b1nbppp/pq2p3/n2p2P1/Pp1P1B1P/1P3N2/N1PQBP2/2KR3R w k - 7 16
Ne5,2r2rk1/1b1nbppp/pq2p3/n2p2P1/Pp1P1B1P/1P3N2/N1PQBP2/1K1R3R w - - 9 17
Bxe5,2r2rk1/1b2bppp/pq2p3/n2pn1P1/Pp1P1B1P/1P6/N1PQBP2/1K1R3R w - - 0 18
h5,2r2rk1/1b2bppp/pqn1p3/3pB1P1/Pp1P3P/1P6/N1PQBP2/1K1R3R w - - 1 19
